epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.8981,0.77543,7.96372,1.1646,0.83333,1,0.86167,0.73217,0.53204,116.155,0.94532,0.000611111,0.000611111,0.000611111
2,6.05874,0.99746,16.3506,1.28348,0.00746,0.6,0.00921,0.00154,3.44029,677.989,4.27138,0.00126513,0.00126513,0.00126513
3,8.3809,1.81187,5.30474,2.06903,0,0,0,0,nan,nan,nan,0.00190594,0.00190594,0.00190594
4,10.6918,1.67145,2.98155,2.03003,0.07143,0.2,0.0325,0.00325,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,13.012,1.60718,2.26455,1.98286,0,0,0,0,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,15.3224,1.37859,1.73986,1.83035,0,0,0,0,nan,nan,nan,0.001901,0.001901,0.001901
7,17.6363,1.26763,1.42745,1.76072,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,20.0091,1.23081,1.33099,1.76876,0,0,0,0,0,11.261,0,0.0018614,0.0018614,0.0018614
9,22.3006,1.09831,1.11271,1.58447,0,0,0,0,0,23.8743,0,0.0018416,0.0018416,0.0018416
10,24.6067,1.17976,1.10358,1.66835,0,0,0,0,0,0.07714,0,0.0018218,0.0018218,0.0018218
11,26.9337,1.13967,1.05687,1.63793,0.27669,0.6,0.19833,0.05787,3.75266,3.01756,3.86389,0.001802,0.001802,0.001802
12,29.2097,1.11907,0.97433,1.6008,0.68406,0.6,0.71722,0.24797,1.85139,2.2596,2.24779,0.0017822,0.0017822,0.0017822
13,31.4969,1.09705,0.95075,1.55189,0.42769,1,0.55864,0.3115,1.62376,1.40831,2.06175,0.0017624,0.0017624,0.0017624
14,33.7982,1.01131,0.85236,1.47798,0.43757,0.8,0.57278,0.18487,1.83499,1.76073,2.93357,0.0017426,0.0017426,0.0017426
15,36.0736,0.94519,0.81479,1.46069,0.79548,1,0.96167,0.57145,1.18811,1.21291,1.70866,0.0017228,0.0017228,0.0017228
16,38.3415,0.98932,0.79667,1.50719,0.65188,0.8,0.61773,0.40371,1.49983,1.51573,1.91182,0.001703,0.001703,0.001703
17,40.6005,0.8918,0.7344,1.4066,0.49756,0.6,0.59192,0.45625,0.97135,2.13344,1.41316,0.0016832,0.0016832,0.0016832
18,42.9669,0.98867,0.75766,1.45576,1,0.7861,0.90611,0.51202,0.99769,1.69508,1.5267,0.0016634,0.0016634,0.0016634
19,45.2386,0.89435,0.69065,1.43632,0.92274,1,0.995,0.72892,0.76516,0.81724,1.36209,0.0016436,0.0016436,0.0016436
20,47.5167,1.00481,0.77777,1.52368,0.77963,0.8,0.7053,0.55515,0.98329,1.4198,1.54472,0.0016238,0.0016238,0.0016238
21,49.7881,0.98051,0.72239,1.4671,0.62025,1,0.70333,0.50473,0.87877,1.33213,1.35062,0.001604,0.001604,0.001604
22,52.0605,0.83814,0.63856,1.36748,1,0.97706,0.995,0.7705,0.83454,0.76364,1.35919,0.0015842,0.0015842,0.0015842
23,54.3934,0.88439,0.65415,1.39107,0.99134,1,0.995,0.832,0.67905,0.62895,1.24956,0.0015644,0.0015644,0.0015644
24,56.7203,0.87226,0.63675,1.43743,1,0.97473,0.995,0.78233,0.72781,0.84496,1.30742,0.0015446,0.0015446,0.0015446
25,59.0441,0.8457,0.58857,1.33706,0.83085,1,0.96167,0.63567,0.9185,1.00358,1.48361,0.0015248,0.0015248,0.0015248
26,61.2946,0.85731,0.61504,1.40039,0.78785,0.8,0.88,0.51493,1.08376,0.99531,1.62898,0.001505,0.001505,0.001505
27,63.5333,0.88579,0.6351,1.45065,0.82565,1,0.86167,0.7299,0.9343,0.7914,1.38978,0.0014852,0.0014852,0.0014852
28,65.7744,0.79855,0.56859,1.35602,1,0.98464,0.995,0.69808,1.14379,0.81571,1.56665,0.0014654,0.0014654,0.0014654
29,70.317,0.84894,0.58458,1.38693,0.71253,0.99261,0.85786,0.6995,0.99722,0.90372,1.42058,0.0014456,0.0014456,0.0014456
30,72.8368,0.77477,0.55094,1.32966,0.71278,0.99366,0.71071,0.33204,1.54562,1.20518,1.87281,0.0014258,0.0014258,0.0014258
31,75.1666,0.77236,0.55781,1.30933,0.70114,0.6,0.62833,0.38388,1.72687,1.58573,1.92466,0.001406,0.001406,0.001406
32,77.4982,0.77533,0.56485,1.3246,0.65092,0.6,0.54625,0.37958,1.31708,1.89979,1.66842,0.0013862,0.0013862,0.0013862
33,79.8367,0.78894,0.55153,1.35921,0.28423,0.4,0.35357,0.18788,2.02111,2.443,1.95037,0.0013664,0.0013664,0.0013664
34,82.1885,0.75971,0.52087,1.32077,0.81938,1,0.96167,0.71087,0.87283,0.6673,1.31578,0.0013466,0.0013466,0.0013466
35,84.5264,0.69766,0.52706,1.23831,1,0.93944,0.995,0.73275,0.85182,0.60912,1.33986,0.0013268,0.0013268,0.0013268
36,86.8825,0.71154,0.50396,1.28801,0.98793,1,0.995,0.843,0.68078,0.54014,1.18221,0.001307,0.001307,0.001307
37,89.3704,0.68824,0.48453,1.25192,1,0.98913,0.995,0.8661,0.71491,0.71418,1.18324,0.0012872,0.0012872,0.0012872
38,91.8501,0.70894,0.50267,1.24996,0.92349,1,0.995,0.8755,0.73052,1.13524,1.22631,0.0012674,0.0012674,0.0012674
39,94.3137,0.71036,0.48444,1.29229,0.82077,1,0.895,0.73383,0.70985,0.57942,1.18525,0.0012476,0.0012476,0.0012476
40,96.7827,0.71848,0.49373,1.25105,0.94862,1,0.995,0.80233,0.62881,0.53178,1.15306,0.0012278,0.0012278,0.0012278
41,99.1361,0.72027,0.4941,1.28768,0.99041,1,0.995,0.90038,0.57967,0.46174,1.13142,0.001208,0.001208,0.001208
42,101.731,0.71264,0.45929,1.29411,0.98695,1,0.995,0.81375,0.70632,0.56666,1.15587,0.0011882,0.0011882,0.0011882
43,104.059,0.65029,0.44635,1.22278,0.94713,1,0.995,0.7997,0.7603,0.6165,1.25909,0.0011684,0.0011684,0.0011684
44,106.391,0.71158,0.45887,1.2857,0.98791,1,0.995,0.80575,0.87572,0.53551,1.33639,0.0011486,0.0011486,0.0011486
45,108.754,0.76717,0.4964,1.34301,0.70797,1,0.93786,0.84929,0.56597,0.61818,1.12497,0.0011288,0.0011288,0.0011288
46,111.086,0.69778,0.45504,1.25447,0.98958,1,0.995,0.83038,0.74607,0.52106,1.19423,0.001109,0.001109,0.001109
47,113.422,0.72732,0.45772,1.31519,0.82157,1,0.96167,0.82883,0.68453,0.56035,1.20194,0.0010892,0.0010892,0.0010892
48,115.777,0.71148,0.49681,1.26731,0.71102,0.9863,0.81786,0.71654,0.68181,0.82167,1.21958,0.0010694,0.0010694,0.0010694
49,118.108,0.64348,0.4257,1.2024,0.76266,0.8,0.86611,0.76118,0.61887,0.84725,1.18399,0.0010496,0.0010496,0.0010496
50,120.521,0.65527,0.41239,1.23366,0.82148,1,0.96167,0.85533,0.66355,0.64929,1.15193,0.0010298,0.0010298,0.0010298
51,122.868,0.61454,0.42721,1.19339,0.96899,1,0.995,0.855,0.72808,0.64031,1.1706,0.00101,0.00101,0.00101
52,125.255,0.63175,0.43102,1.20872,0.9465,1,0.995,0.8255,0.78794,0.66319,1.21979,0.0009902,0.0009902,0.0009902
53,127.58,0.59278,0.40132,1.2315,0.82604,1,0.96167,0.6755,0.9481,0.77741,1.33619,0.0009704,0.0009704,0.0009704
54,129.927,0.57629,0.39311,1.13453,0.89773,0.8,0.85056,0.46439,1.31697,1.05601,1.68581,0.0009506,0.0009506,0.0009506
55,132.289,0.57975,0.40038,1.17528,0.87406,0.6,0.82833,0.53917,1.2023,1.16526,1.55258,0.0009308,0.0009308,0.0009308
56,134.642,0.71566,0.44545,1.26899,1,0.99253,0.995,0.745,0.80643,0.67517,1.25816,0.000911,0.000911,0.000911
57,136.985,0.57952,0.38977,1.1577,0.67686,1,0.89786,0.67529,0.9369,1.04877,1.49246,0.0008912,0.0008912,0.0008912
58,139.355,0.56492,0.39762,1.13126,0.87596,1,0.995,0.7555,0.90651,0.84565,1.34156,0.0008714,0.0008714,0.0008714
59,141.705,0.5995,0.39896,1.17627,0.94464,1,0.995,0.7755,0.77939,0.57284,1.2359,0.0008516,0.0008516,0.0008516
60,144.06,0.58173,0.39744,1.17844,0.85542,1,0.995,0.795,0.93083,0.61458,1.27084,0.0008318,0.0008318,0.0008318
61,146.381,0.63346,0.43118,1.17789,0.96567,1,0.995,0.895,0.53014,0.46815,1.09253,0.000812,0.000812,0.000812
62,148.689,0.57053,0.3929,1.1633,0.9642,1,0.995,0.855,0.65241,0.4989,1.1167,0.0007922,0.0007922,0.0007922
63,151.007,0.58455,0.38074,1.19325,0.98362,1,0.995,0.72883,1.07291,0.64148,1.43151,0.0007724,0.0007724,0.0007724
64,153.317,0.53678,0.3717,1.14519,1,0.9757,0.995,0.783,0.75963,0.66836,1.20573,0.0007526,0.0007526,0.0007526
65,155.635,0.56656,0.38325,1.17864,0.82225,1,0.995,0.731,0.80133,0.57518,1.25773,0.0007328,0.0007328,0.0007328
66,158.033,0.55557,0.37632,1.15045,0.94031,1,0.995,0.795,0.90256,0.53683,1.3254,0.000713,0.000713,0.000713
67,160.347,0.57102,0.37519,1.16186,0.82474,1,0.96167,0.8655,0.71754,0.51582,1.17412,0.0006932,0.0006932,0.0006932
