epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.95496,0.6823,2.55393,1.07291,0.00333,1,0.88071,0.79264,0.53326,2.57787,0.92826,0.000611111,0.000611111,0.000611111
2,3.33821,0.96072,1.67227,1.15399,0.96943,0.8,0.82357,0.64512,0.72353,1.80066,1.05579,0.00126513,0.00126513,0.00126513
3,4.72585,0.94004,1.42929,1.14846,0.49591,0.8,0.58595,0.34928,1.82454,5.03347,2.78285,0.00190594,0.00190594,0.00190594
4,6.15401,0.9081,1.31505,1.09557,0.23783,1,0.28167,0.09796,2.02033,9.95843,2.44709,0.0019406,0.0019406,0.0019406
5,7.52803,0.97783,1.18176,1.13851,0.002,0.6,0.00125,0.00026,3.42642,12.5483,5.31644,0.0019208,0.0019208,0.0019208
6,8.91766,0.88282,1.09797,1.08572,0.03299,0.4,0.01857,0.00359,2.71033,7.3142,3.49903,0.001901,0.001901,0.001901
7,10.2925,0.8422,0.98795,1.06098,0.76122,0.8,0.77382,0.16621,2.59015,2.77419,1.93076,0.0018812,0.0018812,0.0018812
8,11.6648,0.86311,0.95227,1.09359,0.10312,1,0.16375,0.04283,2.02019,3.0911,1.58493,0.0018614,0.0018614,0.0018614
9,13.1416,0.77534,0.86307,1.01027,0.91045,0.2,0.23879,0.17275,1.87384,3.20138,1.654,0.0018416,0.0018416,0.0018416
10,14.5962,0.78594,0.84992,1.03244,1,0.98762,0.995,0.82883,0.71036,0.97301,1.00881,0.0018218,0.0018218,0.0018218
11,15.9796,0.76567,0.79732,1.03967,1,0.99795,0.995,0.70998,0.86641,1.03413,1.12196,0.001802,0.001802,0.001802
12,17.376,0.78077,0.78719,1.03225,0.78985,0.75942,0.82611,0.50235,1.11404,1.55019,1.46389,0.0017822,0.0017822,0.0017822
13,18.7264,0.7432,0.74393,0.99899,0.82521,1,0.96167,0.63625,0.88596,0.8801,1.26119,0.0017624,0.0017624,0.0017624
14,20.0859,0.75818,0.70982,1.01572,0.98984,1,0.995,0.6615,1.07305,0.86179,1.1413,0.0017426,0.0017426,0.0017426
15,21.4394,0.75991,0.69121,1.00876,0.77504,0.8,0.8,0.47245,1.08639,1.50082,1.1339,0.0017228,0.0017228,0.0017228
16,22.7966,0.84015,0.69969,1.0459,0.82972,0.6,0.79667,0.31579,1.1965,2.03291,1.12859,0.001703,0.001703,0.001703
17,24.1614,0.77094,0.67461,1.01693,0.97469,1,0.995,0.727,0.78781,1.01069,1.01446,0.0016832,0.0016832,0.0016832
18,25.5218,0.75358,0.64229,1.02539,0.99066,1,0.995,0.822,0.74938,0.5934,1.06464,0.0016634,0.0016634,0.0016634
19,27.125,0.70483,0.59526,1.013,0.99038,1,0.995,0.855,0.69669,0.53552,1.10579,0.0016436,0.0016436,0.0016436
20,28.5887,0.70157,0.5998,1.00099,0.98321,1,0.995,0.7755,0.76738,0.53576,1.2757,0.0016238,0.0016238,0.0016238
21,29.9369,0.71371,0.62581,1.00622,0.97859,1,0.995,0.75595,0.85591,0.79767,1.18225,0.001604,0.001604,0.001604
22,31.2634,0.67515,0.54661,0.98092,0.82254,1,0.96167,0.75026,0.76269,0.69757,1.1079,0.0015842,0.0015842,0.0015842
23,32.6093,0.71251,0.5547,1.00006,0.97636,1,0.995,0.819,0.78877,0.78554,1.06776,0.0015644,0.0015644,0.0015644
24,34.0914,0.68524,0.54961,1.00653,0.99419,1,0.995,0.8035,0.6803,0.60996,1.02494,0.0015446,0.0015446,0.0015446
25,35.5494,0.69503,0.53329,0.99899,0.98971,1,0.995,0.79633,0.77683,0.56495,1.0527,0.0015248,0.0015248,0.0015248
26,36.9302,0.65723,0.517,0.97934,0.99038,1,0.995,0.75525,0.75402,0.46322,1.07739,0.001505,0.001505,0.001505
27,38.287,0.68463,0.53652,1.01066,0.99096,1,0.995,0.77491,0.81527,0.52803,0.98354,0.0014852,0.0014852,0.0014852
28,39.7177,0.67724,0.50283,1.00779,0.99457,1,0.995,0.8305,0.7734,0.54321,0.97097,0.0014654,0.0014654,0.0014654
29,41.0759,0.69181,0.51721,0.99545,0.98882,1,0.995,0.8355,0.61943,0.50811,0.94682,0.0014456,0.0014456,0.0014456
30,42.5518,0.62119,0.47946,0.98525,0.99057,1,0.995,0.83525,0.6609,0.47188,0.98822,0.0014258,0.0014258,0.0014258
31,43.9169,0.64248,0.49958,0.98161,0.9904,1,0.995,0.74438,0.74655,0.39327,1.05978,0.001406,0.001406,0.001406
32,45.2766,0.65037,0.48197,0.97209,0.98983,1,0.995,0.795,0.7058,0.39523,1.0136,0.0013862,0.0013862,0.0013862
33,46.6399,0.69037,0.48481,1.01685,0.99009,1,0.995,0.7675,0.6901,0.45393,1.03347,0.0013664,0.0013664,0.0013664
34,47.9925,0.63854,0.46648,0.98291,0.99005,1,0.995,0.785,0.66625,0.4468,1.06159,0.0013466,0.0013466,0.0013466
35,49.3685,0.59174,0.45636,0.96015,0.99306,1,0.995,0.79382,0.66316,0.52182,1.00632,0.0013268,0.0013268,0.0013268
36,50.7501,0.57229,0.42891,0.94878,0.79397,1,0.92833,0.54161,0.94464,1.15532,1.06645,0.001307,0.001307,0.001307
37,52.103,0.56073,0.43474,0.95492,0.82472,1,0.96167,0.72679,1.00805,0.67891,1.04218,0.0012872,0.0012872,0.0012872
38,53.4541,0.59748,0.44171,0.96163,0.99073,1,0.995,0.80883,0.83569,0.39373,1.07839,0.0012674,0.0012674,0.0012674
39,54.9412,0.59257,0.42424,0.96324,0.99048,1,0.995,0.755,0.70749,0.38933,1.10628,0.0012476,0.0012476,0.0012476
40,56.3967,0.59685,0.4391,0.93604,0.99034,1,0.995,0.73233,0.88122,0.4078,1.21835,0.0012278,0.0012278,0.0012278
41,57.7885,0.5933,0.42894,0.96745,0.9902,1,0.995,0.795,0.72784,0.37781,1.10792,0.001208,0.001208,0.001208
42,59.158,0.5815,0.4143,0.9594,0.99065,1,0.995,0.77325,0.68002,0.40818,1.10481,0.0011882,0.0011882,0.0011882
43,60.5049,0.54223,0.40109,0.94009,0.99112,1,0.995,0.74233,0.69587,0.3605,1.0932,0.0011684,0.0011684,0.0011684
44,61.9217,0.60006,0.42438,0.96809,0.99087,1,0.995,0.77165,0.70857,0.36554,1.03689,0.0011486,0.0011486,0.0011486
45,63.2701,0.59263,0.42206,0.97921,0.99064,1,0.995,0.81233,0.64513,0.35341,1.03699,0.0011288,0.0011288,0.0011288
46,64.6254,0.56795,0.40351,0.94164,0.99063,1,0.995,0.8275,0.65074,0.34535,1.0672,0.001109,0.001109,0.001109
47,66.0592,0.57912,0.39198,0.97657,0.99088,1,0.995,0.835,0.64056,0.35202,1.12007,0.0010892,0.0010892,0.0010892
48,67.4344,0.58994,0.41458,0.9859,0.99104,1,0.995,0.8637,0.68533,0.35628,1.12482,0.0010694,0.0010694,0.0010694
49,68.922,0.55161,0.38793,0.92897,0.9899,1,0.995,0.84929,0.65528,0.33693,1.14606,0.0010496,0.0010496,0.0010496
50,70.3911,0.55855,0.38828,0.9425,0.99065,1,0.995,0.86515,0.63811,0.32119,1.09821,0.0010298,0.0010298,0.0010298
51,71.7767,0.52477,0.37722,0.92439,0.99073,1,0.995,0.86,0.66384,0.34548,1.11571,0.00101,0.00101,0.00101
52,73.1194,0.52787,0.37799,0.9205,0.99066,1,0.995,0.85969,0.67356,0.30979,1.08861,0.0009902,0.0009902,0.0009902
53,74.4853,0.52071,0.38565,0.96324,0.99061,1,0.995,0.76264,0.71842,0.36292,1.04714,0.0009704,0.0009704,0.0009704
54,75.8296,0.49484,0.33762,0.91692,0.99066,1,0.995,0.75525,0.7114,0.36734,1.04725,0.0009506,0.0009506,0.0009506
55,77.2992,0.52941,0.35207,0.91397,0.99076,1,0.995,0.7225,0.69318,0.32447,1.08389,0.0009308,0.0009308,0.0009308
56,78.7737,0.61732,0.39379,0.99175,0.9908,1,0.995,0.82183,0.66179,0.32545,1.08901,0.000911,0.000911,0.000911
57,80.1327,0.48189,0.33999,0.91435,0.99103,1,0.995,0.81525,0.70112,0.31545,1.14049,0.0008912,0.0008912,0.0008912
58,81.4745,0.51898,0.36192,0.93054,0.99075,1,0.995,0.84183,0.70156,0.30811,1.09293,0.0008714,0.0008714,0.0008714
59,82.8243,0.55699,0.35236,0.9346,0.99096,1,0.995,0.7955,0.83087,0.35662,1.12179,0.0008516,0.0008516,0.0008516
60,84.2944,0.50072,0.35057,0.92976,0.99034,1,0.995,0.815,0.70749,0.35187,1.12589,0.0008318,0.0008318,0.0008318
61,85.7495,0.55409,0.38717,0.93892,0.99076,1,0.995,0.835,0.75917,0.35354,1.10081,0.000812,0.000812,0.000812
62,87.1254,0.51641,0.33818,0.91822,0.99083,1,0.995,0.82833,0.67163,0.30038,1.08248,0.0007922,0.0007922,0.0007922
63,88.4887,0.50635,0.33003,0.95268,0.99082,1,0.995,0.85,0.65015,0.29253,1.10626,0.0007724,0.0007724,0.0007724
64,90.074,0.48702,0.33219,0.92755,0.99062,1,0.995,0.87857,0.60587,0.25749,1.08229,0.0007526,0.0007526,0.0007526
65,91.5564,0.48371,0.33546,0.94043,0.99074,1,0.995,0.80454,0.71181,0.29306,1.10112,0.0007328,0.0007328,0.0007328
66,92.9218,0.49161,0.34622,0.91016,0.99053,1,0.995,0.7755,0.69693,0.3233,1.07121,0.000713,0.000713,0.000713
67,94.2668,0.49884,0.33491,0.91967,0.99056,1,0.995,0.802,0.68394,0.31924,1.06863,0.0006932,0.0006932,0.0006932
68,95.624,0.49688,0.32952,0.91032,0.99065,1,0.995,0.82183,0.65251,0.27047,1.09014,0.0006734,0.0006734,0.0006734
69,97.1007,0.47136,0.32606,0.91549,0.99061,1,0.995,0.84012,0.61504,0.27451,1.06572,0.0006536,0.0006536,0.0006536
70,98.5644,0.49036,0.33212,0.91816,0.99034,1,0.995,0.875,0.63759,0.30506,1.0525,0.0006338,0.0006338,0.0006338
71,99.9154,0.4507,0.31467,0.89485,0.99057,1,0.995,0.84012,0.61864,0.29447,1.04746,0.000614,0.000614,0.000614
72,101.284,0.49161,0.31776,0.91664,0.99082,1,0.995,0.81525,0.63981,0.2564,1.04797,0.0005942,0.0005942,0.0005942
73,102.715,0.45931,0.31956,0.8998,0.99089,1,0.995,0.84012,0.65323,0.28017,1.05509,0.0005744,0.0005744,0.0005744
74,104.06,0.456,0.30808,0.918,0.99097,1,0.995,0.835,0.64917,0.27561,1.03476,0.0005546,0.0005546,0.0005546
75,105.529,0.47411,0.33041,0.89782,0.99085,1,0.995,0.81,0.72242,0.31022,1.03595,0.0005348,0.0005348,0.0005348
76,106.998,0.47853,0.31987,0.92053,0.99087,1,0.995,0.875,0.66784,0.27962,1.05383,0.000515,0.000515,0.000515
77,108.37,0.4618,0.32933,0.92033,0.99075,1,0.995,0.84183,0.75984,0.31981,1.08164,0.0004952,0.0004952,0.0004952
78,109.7,0.47762,0.32659,0.91052,0.99084,1,0.995,0.84183,0.66279,0.28709,1.05316,0.0004754,0.0004754,0.0004754
